frame,p0,p1,p2,p3,p4,p5,p6,p7
9,0.189773,0.093933,0.067616,0.088122,0.068273,0.082735,0.096300,0.313249
10,0.189775,0.093939,0.067613,0.088113,0.068264,0.082733,0.096302,0.313262
11,0.189759,0.093926,0.067616,0.088126,0.068279,0.082742,0.096307,0.313245
12,0.190035,0.094074,0.067596,0.088026,0.068129,0.082606,0.096188,0.313346
13,0.190132,0.094125,0.067589,0.087993,0.068079,0.082558,0.096145,0.313378
14,0.190164,0.094140,0.067588,0.087983,0.068064,0.082543,0.096131,0.313386
15,0.189769,0.093928,0.067618,0.088129,0.068280,0.082737,0.096300,0.313241
16,0.189793,0.093939,0.067617,0.088123,0.068269,0.082725,0.096288,0.313246
17,0.190357,0.094224,0.067583,0.087945,0.067987,0.082449,0.096037,0.313418
18,0.188948,0.093470,0.067689,0.088447,0.068763,0.083141,0.096653,0.312889
19,0.189780,0.093923,0.067623,0.088142,0.068290,0.082732,0.096288,0.313222
20,0.190540,0.094310,0.067576,0.087899,0.067906,0.082360,0.095950,0.313461
21,0.189787,0.093924,0.067624,0.088145,0.068291,0.082729,0.096283,0.313217
22,0.189792,0.093914,0.067630,0.088164,0.068307,0.082727,0.096273,0.313192
23,0.189762,0.093894,0.067634,0.088181,0.068329,0.082742,0.096284,0.313174
24,0.190735,0.094404,0.067564,0.087843,0.067811,0.082264,0.095860,0.313519
25,0.190770,0.094426,0.067560,0.087824,0.067788,0.082247,0.095849,0.313537
26,0.190499,0.094271,0.067587,0.087943,0.067951,0.082380,0.095955,0.313414
27,0.188786,0.093366,0.067709,0.088530,0.068879,0.083221,0.096715,0.312794
28,0.189364,0.093719,0.067645,0.088258,0.068494,0.082936,0.096485,0.313099
29,0.188759,0.093405,0.067682,0.088451,0.068812,0.083232,0.096761,0.312898
30,0.189765,0.093931,0.067615,0.088121,0.068273,0.082739,0.096305,0.313252
31,0.189293,0.093682,0.067649,0.088281,0.068532,0.082971,0.096517,0.313075
32,0.189273,0.093676,0.067648,0.088280,0.068535,0.082980,0.096529,0.313078
33,0.189779,0.093940,0.067613,0.088114,0.068264,0.082731,0.096299,0.313258
34,0.189737,0.093914,0.067618,0.088133,0.068291,0.082752,0.096316,0.313237
35,0.189290,0.093680,0.067650,0.088283,0.068533,0.082972,0.096518,0.313074
36,0.189748,0.093922,0.067616,0.088127,0.068283,0.082747,0.096312,0.313244
37,0.088925,0.045381,0.058070,0.089688,0.124838,0.134387,0.188337,0.270374
