frame,p0,p1,p2,p3,p4,p5,p6,p7
0,0.121162,0.125874,0.103043,0.090535,0.099960,0.100757,0.129646,0.229024
1,0.152177,0.084325,0.084915,0.094330,0.076098,0.078273,0.091484,0.338399
2,0.152177,0.084325,0.084915,0.094330,0.076098,0.078273,0.091484,0.338399
3,0.152177,0.084325,0.084915,0.094330,0.076098,0.078273,0.091484,0.338399
4,0.152177,0.084325,0.084915,0.094330,0.076098,0.078273,0.091484,0.338399
5,0.152177,0.084325,0.084915,0.094330,0.076098,0.078273,0.091484,0.338399
6,0.152177,0.084325,0.084915,0.094330,0.076098,0.078273,0.091484,0.338399
7,0.152177,0.084325,0.084915,0.094330,0.076098,0.078273,0.091484,0.338399
8,0.152177,0.084325,0.084915,0.094330,0.076098,0.078273,0.091484,0.338399
9,0.152177,0.084325,0.084915,0.094330,0.076098,0.078273,0.091484,0.338399
10,0.152177,0.084325,0.084915,0.094330,0.076098,0.078273,0.091484,0.338399
11,0.152177,0.084325,0.084915,0.094330,0.076098,0.078273,0.091484,0.338399
12,0.152177,0.084325,0.084915,0.094330,0.076098,0.078273,0.091484,0.338399
13,0.152177,0.084325,0.084915,0.094330,0.076098,0.078273,0.091484,0.338399
14,0.152177,0.084325,0.084915,0.094330,0.076098,0.078273,0.091484,0.338399
15,0.152177,0.084325,0.084915,0.094330,0.076098,0.078273,0.091484,0.338399
16,0.152177,0.084325,0.084915,0.094330,0.076098,0.078273,0.091484,0.338399
17,0.152177,0.084325,0.084915,0.094330,0.076098,0.078273,0.091484,0.338399
18,0.152177,0.084325,0.084915,0.094330,0.076098,0.078273,0.091484,0.338399
19,0.152177,0.084325,0.084915,0.094330,0.076098,0.078273,0.091484,0.338399
20,0.152177,0.084325,0.084915,0.094330,0.076098,0.078273,0.091484,0.338399
21,0.152177,0.084325,0.084915,0.094330,0.076098,0.078273,0.091484,0.338399
22,0.152177,0.084325,0.084915,0.094330,0.076098,0.078273,0.091484,0.338399
23,0.152177,0.084325,0.084915,0.094330,0.076098,0.078273,0.091484,0.338399
