frame,p0,p1,p2,p3,p4,p5,p6,p7
0,0.197426,0.115161,0.099091,0.102483,0.065809,0.086297,0.104128,0.229606
1,0.197475,0.115038,0.099031,0.102411,0.065767,0.086239,0.104176,0.229864
2,0.197473,0.115031,0.099029,0.102405,0.065762,0.086235,0.104181,0.229883
3,0.197475,0.115043,0.099032,0.102414,0.065769,0.086240,0.104173,0.229853
4,0.197359,0.114632,0.098958,0.102041,0.065508,0.085892,0.104277,0.231334
5,0.197475,0.115041,0.099032,0.102413,0.065768,0.086239,0.104173,0.229860
6,0.197468,0.115021,0.099029,0.102394,0.065755,0.086218,0.104175,0.229940
7,0.197467,0.115015,0.099028,0.102389,0.065752,0.086213,0.104175,0.229962
8,0.197467,0.115016,0.099028,0.102390,0.065752,0.086214,0.104175,0.229958
9,0.197467,0.115015,0.099028,0.102389,0.065752,0.086213,0.104176,0.229960
10,0.197471,0.115032,0.099031,0.102404,0.065762,0.086227,0.104172,0.229901
11,0.197468,0.115019,0.099028,0.102392,0.065754,0.086216,0.104175,0.229947
12,0.197466,0.115012,0.099027,0.102386,0.065750,0.086210,0.104177,0.229973
13,0.197469,0.115023,0.099029,0.102396,0.065756,0.086220,0.104175,0.229933
14,0.197467,0.115017,0.099028,0.102390,0.065753,0.086215,0.104176,0.229955
15,0.197467,0.115013,0.099027,0.102387,0.065750,0.086213,0.104178,0.229964
16,0.197465,0.115007,0.099026,0.102382,0.065747,0.086208,0.104180,0.229985
17,0.197467,0.115014,0.099028,0.102388,0.065751,0.086212,0.104176,0.229964
18,0.197468,0.115018,0.099028,0.102392,0.065753,0.086218,0.104177,0.229946
19,0.197465,0.115004,0.099025,0.102379,0.065745,0.086207,0.104182,0.229994
20,0.197465,0.115006,0.099025,0.102381,0.065746,0.086209,0.104182,0.229985
21,0.197312,0.114468,0.098928,0.101893,0.065404,0.085755,0.104320,0.231920
22,0.197466,0.115011,0.099027,0.102385,0.065749,0.086211,0.104178,0.229973
23,0.197367,0.114659,0.098963,0.102066,0.065525,0.085915,0.104269,0.231235
24,0.197465,0.115010,0.099027,0.102385,0.065748,0.086210,0.104178,0.229976
25,0.197374,0.114686,0.098968,0.102090,0.065542,0.085938,0.104264,0.231138
26,0.197466,0.115010,0.099026,0.102385,0.065749,0.086212,0.104181,0.229971
27,0.197369,0.114669,0.098965,0.102074,0.065531,0.085922,0.104267,0.231203
28,0.155952,0.135912,0.125151,0.106318,0.112854,0.104110,0.099827,0.159876
29,0.197408,0.115232,0.099123,0.102536,0.065838,0.086325,0.104081,0.229456
30,0.197406,0.115228,0.099123,0.102532,0.065835,0.086319,0.104079,0.229477
31,0.143296,0.132940,0.128747,0.108395,0.115955,0.114225,0.111019,0.145422
32,0.197403,0.115217,0.099120,0.102523,0.065830,0.086315,0.104087,0.229505
33,0.139940,0.131629,0.129019,0.109625,0.118184,0.117054,0.113661,0.140889
34,0.197406,0.115203,0.099114,0.102513,0.065824,0.086305,0.104092,0.229543
35,0.197313,0.114878,0.099056,0.102216,0.065616,0.086033,0.104179,0.230708
36,0.197407,0.115205,0.099115,0.102514,0.065825,0.086307,0.104092,0.229536
37,0.197409,0.115212,0.099116,0.102520,0.065829,0.086314,0.104091,0.229509
38,0.197408,0.115208,0.099115,0.102517,0.065827,0.086310,0.104091,0.229525
39,0.197314,0.114882,0.099057,0.102220,0.065619,0.086036,0.104178,0.230695
40,0.197407,0.115204,0.099114,0.102513,0.065824,0.086306,0.104092,0.229539
41,0.144759,0.133969,0.128850,0.107877,0.115249,0.113315,0.109671,0.146311
42,0.197408,0.115210,0.099115,0.102519,0.065828,0.086312,0.104090,0.229517
43,0.197407,0.115235,0.099124,0.102539,0.065840,0.086327,0.104079,0.229450
44,0.197312,0.114904,0.099065,0.102237,0.065629,0.086047,0.104166,0.230641
45,0.197310,0.114898,0.099064,0.102231,0.065625,0.086042,0.104167,0.230661
46,0.197410,0.115244,0.099125,0.102547,0.065847,0.086337,0.104079,0.229411
47,0.197310,0.114900,0.099065,0.102233,0.065626,0.086044,0.104167,0.230655
48,0.197409,0.115235,0.099123,0.102540,0.065841,0.086332,0.104085,0.229435
49,0.197409,0.115235,0.099123,0.102540,0.065841,0.086333,0.104086,0.229434
50,0.197312,0.114904,0.099065,0.102237,0.065629,0.086049,0.104167,0.230636
51,0.197467,0.115015,0.099027,0.102389,0.065752,0.086216,0.104180,0.229954
52,0.197310,0.114466,0.098928,0.101891,0.065403,0.085751,0.104319,0.231931
53,0.197314,0.114482,0.098932,0.101905,0.065413,0.085764,0.104313,0.231876
54,0.197468,0.115022,0.099029,0.102395,0.065756,0.086219,0.104174,0.229936
55,0.197465,0.115011,0.099027,0.102386,0.065749,0.086211,0.104177,0.229973
56,0.197374,0.114687,0.098968,0.102091,0.065543,0.085938,0.104263,0.231136
57,0.197468,0.115019,0.099028,0.102393,0.065754,0.086220,0.104178,0.229940
58,0.197372,0.114679,0.098967,0.102083,0.065538,0.085930,0.104264,0.231168
59,0.197471,0.115031,0.099031,0.102404,0.065762,0.086227,0.104172,0.229902
60,0.197465,0.115012,0.099027,0.102386,0.065749,0.086210,0.104177,0.229974
61,0.197311,0.114470,0.098929,0.101895,0.065405,0.085756,0.104319,0.231915
62,0.197311,0.114470,0.098930,0.101894,0.065405,0.085752,0.104315,0.231924
63,0.160290,0.137050,0.123926,0.104878,0.111153,0.100188,0.095883,0.166632
64,0.197315,0.114889,0.099060,0.102226,0.065622,0.086036,0.104168,0.230683
65,0.197412,0.115227,0.099120,0.102535,0.065838,0.086323,0.104081,0.229465
66,0.150139,0.134720,0.127043,0.107205,0.113859,0.108765,0.105000,0.153269
67,0.197405,0.115231,0.099124,0.102534,0.065837,0.086322,0.104079,0.229467
68,0.138859,0.130454,0.128605,0.110340,0.119161,0.117699,0.114572,0.140310
69,0.197317,0.114872,0.099052,0.102213,0.065615,0.086032,0.104184,0.230714
70,0.197268,0.114707,0.099024,0.102062,0.065509,0.085890,0.104224,0.231317
71,0.197413,0.115203,0.099111,0.102515,0.065826,0.086313,0.104099,0.229520
72,0.141973,0.131339,0.128334,0.108919,0.116402,0.114702,0.112410,0.145921
73,0.197322,0.114889,0.099055,0.102228,0.065626,0.086048,0.104181,0.230651
74,0.197411,0.115200,0.099111,0.102511,0.065824,0.086309,0.104098,0.229537
75,0.197317,0.114873,0.099053,0.102214,0.065615,0.086032,0.104183,0.230714
76,0.197318,0.114876,0.099053,0.102217,0.065617,0.086036,0.104183,0.230699
77,0.197318,0.114876,0.099053,0.102216,0.065617,0.086035,0.104183,0.230702
78,0.138750,0.130025,0.128400,0.110455,0.119192,0.117616,0.114748,0.140814
79,0.197413,0.115206,0.099112,0.102517,0.065828,0.086313,0.104096,0.229516
80,0.197410,0.115198,0.099110,0.102509,0.065823,0.086305,0.104097,0.229547
81,0.197410,0.115199,0.099111,0.102511,0.065824,0.086307,0.104097,0.229542
82,0.156725,0.134748,0.124066,0.106455,0.112628,0.102691,0.099306,0.163381
83,0.197270,0.114715,0.099025,0.102069,0.065514,0.085898,0.104224,0.231285
84,0.197408,0.115192,0.099110,0.102504,0.065819,0.086300,0.104099,0.229570
85,0.197414,0.115206,0.099111,0.102518,0.065828,0.086315,0.104098,0.229510
86,0.150581,0.132004,0.125224,0.107729,0.113382,0.106753,0.104994,0.159333
87,0.197322,0.114889,0.099055,0.102229,0.065626,0.086048,0.104181,0.230651
88,0.197310,0.114898,0.099064,0.102232,0.065626,0.086043,0.104168,0.230659
89,0.197310,0.114899,0.099064,0.102232,0.065626,0.086042,0.104167,0.230660
90,0.154940,0.135865,0.125591,0.106490,0.113048,0.105049,0.100685,0.158332
91,0.197405,0.115222,0.099121,0.102529,0.065834,0.086320,0.104087,0.229483
92,0.197309,0.114897,0.099064,0.102230,0.065625,0.086040,0.104167,0.230669
93,0.197312,0.114905,0.099065,0.102238,0.065630,0.086049,0.104167,0.230635
94,0.197317,0.114922,0.099068,0.102254,0.065641,0.086064,0.104163,0.230572
95,0.197320,0.114930,0.099069,0.102262,0.065647,0.086071,0.104161,0.230540
96,0.197407,0.115232,0.099124,0.102536,0.065838,0.086325,0.104081,0.229457
97,0.197406,0.115229,0.099124,0.102533,0.065836,0.086321,0.104079,0.229472
98,0.197411,0.115247,0.099126,0.102549,0.065847,0.086336,0.104076,0.229407
99,0.197264,0.114743,0.099038,0.102089,0.065525,0.085909,0.104205,0.231227
100,0.197323,0.114512,0.098937,0.101933,0.065432,0.085790,0.104306,0.231767
101,0.197379,0.114706,0.098972,0.102108,0.065555,0.085953,0.104256,0.231071
102,0.197464,0.115006,0.099026,0.102381,0.065746,0.086208,0.104181,0.229988
103,0.197380,0.114709,0.098972,0.102111,0.065557,0.085955,0.104256,0.231060
104,0.197468,0.115021,0.099029,0.102394,0.065755,0.086218,0.104174,0.229940
105,0.197464,0.115007,0.099027,0.102381,0.065746,0.086205,0.104176,0.229994
106,0.197376,0.114692,0.098969,0.102095,0.065546,0.085943,0.104262,0.231118
107,0.197470,0.115027,0.099030,0.102400,0.065759,0.086224,0.104174,0.229916
108,0.197332,0.114546,0.098944,0.101963,0.065453,0.085815,0.104294,0.231654
109,0.197467,0.115018,0.099028,0.102391,0.065753,0.086215,0.104175,0.229952
110,0.197376,0.114694,0.098969,0.102097,0.065547,0.085944,0.104261,0.231110
111,0.150201,0.133823,0.126474,0.107378,0.113730,0.108172,0.105076,0.155147
112,0.153928,0.132817,0.124131,0.107129,0.112719,0.103998,0.101894,0.163384
113,0.197260,0.114735,0.099036,0.102082,0.065520,0.085902,0.104207,0.231257
114,0.197314,0.114913,0.099067,0.102245,0.065634,0.086055,0.104164,0.230608
115,0.197309,0.114897,0.099065,0.102230,0.065624,0.086040,0.104167,0.230668
116,0.197311,0.114904,0.099066,0.102236,0.065628,0.086047,0.104166,0.230643
117,0.197405,0.115227,0.099123,0.102532,0.065835,0.086321,0.104082,0.229476
118,0.197240,0.114673,0.099027,0.102025,0.065480,0.085842,0.104214,0.231498
119,0.150940,0.135022,0.126874,0.107087,0.113728,0.108224,0.104255,0.153869
120,0.197312,0.114909,0.099067,0.102240,0.065631,0.086050,0.104164,0.230627
121,0.197314,0.114916,0.099068,0.102247,0.065635,0.086057,0.104163,0.230600
122,0.197316,0.114922,0.099069,0.102252,0.065639,0.086062,0.104162,0.230578
123,0.197313,0.114909,0.099067,0.102241,0.065631,0.086052,0.104165,0.230623
124,0.197408,0.115241,0.099126,0.102543,0.065843,0.086333,0.104079,0.229427
125,0.197314,0.114912,0.099067,0.102243,0.065633,0.086054,0.104164,0.230613
126,0.166201,0.145563,0.126905,0.101375,0.106864,0.098257,0.088889,0.165946
127,0.197313,0.114909,0.099067,0.102240,0.065631,0.086051,0.104165,0.230625
128,0.197310,0.114900,0.099065,0.102233,0.065625,0.086043,0.104167,0.230657
129,0.197433,0.115162,0.099089,0.102494,0.065813,0.086294,0.104112,0.229603
130,0.197434,0.115163,0.099089,0.102495,0.065814,0.086295,0.104111,0.229600
131,0.197432,0.115160,0.099089,0.102492,0.065812,0.086290,0.104110,0.229615
132,0.197339,0.114834,0.099030,0.102195,0.065604,0.086015,0.104195,0.230788
133,0.197338,0.114830,0.099030,0.102191,0.065601,0.086012,0.104196,0.230802
134,0.197440,0.115184,0.099092,0.102514,0.065828,0.086314,0.104108,0.229520
135,0.197437,0.115172,0.099090,0.102504,0.065820,0.086304,0.104110,0.229562
136,0.197469,0.115021,0.099028,0.102395,0.065756,0.086221,0.104178,0.229933
137,0.197311,0.114468,0.098929,0.101892,0.065403,0.085752,0.104318,0.231928
138,0.197313,0.114478,0.098932,0.101902,0.065410,0.085755,0.104308,0.231902
139,0.151938,0.136795,0.127499,0.106671,0.113772,0.108394,0.103157,0.151772
