frame,p0,p1,p2,p3,p4,p5,p6,p7
0,0.070730,0.025406,0.042226,0.068848,0.073654,0.090030,0.134726,0.494380
1,0.063877,0.021398,0.038102,0.065686,0.070728,0.088505,0.133876,0.517827
2,0.063874,0.021395,0.038100,0.065684,0.070727,0.088505,0.133876,0.517840
3,0.063966,0.021448,0.038156,0.065729,0.070769,0.088528,0.133891,0.517514
4,0.067271,0.023346,0.040147,0.067286,0.072215,0.089300,0.134359,0.506076
5,0.067275,0.023349,0.040150,0.067288,0.072217,0.089301,0.134360,0.506060
6,0.067272,0.023346,0.040149,0.067285,0.072215,0.089296,0.134359,0.506078
7,0.070691,0.025382,0.042203,0.068830,0.073638,0.090021,0.134723,0.494511
8,0.074223,0.027562,0.044319,0.070362,0.075036,0.090702,0.134982,0.482815
9,0.074283,0.027600,0.044355,0.070388,0.075060,0.090714,0.134985,0.482614
10,0.077796,0.029846,0.046452,0.071848,0.076378,0.091323,0.135130,0.471226
11,0.081352,0.032198,0.048567,0.073264,0.077646,0.091877,0.135172,0.459925
12,0.077798,0.029847,0.046453,0.071848,0.076379,0.091323,0.135130,0.471222
13,0.077750,0.029816,0.046425,0.071828,0.076361,0.091314,0.135128,0.471379
14,0.074203,0.027549,0.044308,0.070352,0.075027,0.090694,0.134979,0.482888
15,0.074208,0.027552,0.044311,0.070354,0.075029,0.090695,0.134980,0.482873
16,0.077772,0.029830,0.046438,0.071836,0.076368,0.091315,0.135128,0.471313
17,0.074292,0.027605,0.044360,0.070391,0.075062,0.090713,0.134985,0.482593
18,0.074294,0.027606,0.044361,0.070391,0.075063,0.090713,0.134985,0.482587
19,0.070825,0.025464,0.042284,0.068890,0.073693,0.090048,0.134735,0.494061
20,0.070878,0.025496,0.042315,0.068914,0.073715,0.090060,0.134740,0.493881
21,0.074352,0.027643,0.044396,0.070417,0.075086,0.090726,0.134989,0.482391
22,0.074403,0.027675,0.044426,0.070440,0.075106,0.090737,0.134992,0.482221
23,0.074455,0.027708,0.044457,0.070463,0.075127,0.090749,0.134996,0.482046
24,0.077973,0.029962,0.046556,0.071921,0.076444,0.091356,0.135136,0.470653
25,0.077922,0.029928,0.046526,0.071900,0.076425,0.091346,0.135134,0.470819
26,0.074407,0.027678,0.044428,0.070442,0.075108,0.090738,0.134993,0.482206
27,0.077873,0.029896,0.046498,0.071879,0.076407,0.091336,0.135132,0.470977
28,0.081426,0.032248,0.048611,0.073294,0.077672,0.091888,0.135172,0.459689
29,0.084964,0.034669,0.050707,0.074644,0.078866,0.092377,0.135113,0.448660
30,0.084962,0.034668,0.050706,0.074643,0.078866,0.092377,0.135113,0.448667
31,0.085008,0.034700,0.050732,0.074661,0.078881,0.092384,0.135112,0.448523
32,0.088566,0.037215,0.052832,0.075962,0.080019,0.092818,0.134958,0.437630
33,0.092183,0.039853,0.054955,0.077229,0.081115,0.093205,0.134712,0.426748
34,0.088566,0.037214,0.052831,0.075962,0.080019,0.092818,0.134958,0.437632
35,0.088614,0.037249,0.052859,0.075980,0.080035,0.092825,0.134956,0.437483
36,0.092185,0.039855,0.054956,0.077230,0.081116,0.093205,0.134712,0.426741
37,0.092186,0.039856,0.054957,0.077231,0.081116,0.093206,0.134711,0.426738
38,0.084959,0.034666,0.050703,0.074641,0.078864,0.092376,0.135112,0.448677
39,0.084962,0.034667,0.050705,0.074643,0.078865,0.092376,0.135112,0.448669
40,0.081373,0.032213,0.048579,0.073272,0.077653,0.091879,0.135171,0.459860
41,0.081376,0.032214,0.048581,0.073273,0.077654,0.091879,0.135171,0.459852
42,0.081438,0.032256,0.048618,0.073298,0.077676,0.091890,0.135172,0.459652
43,0.074367,0.027653,0.044405,0.070424,0.075092,0.090730,0.134990,0.482339
44,0.077935,0.029937,0.046535,0.071906,0.076431,0.091348,0.135134,0.470774
45,0.077935,0.029936,0.046534,0.071905,0.076430,0.091348,0.135134,0.470777
46,0.074423,0.027688,0.044438,0.070449,0.075115,0.090742,0.134994,0.482153
47,0.074421,0.027687,0.044437,0.070448,0.075114,0.090742,0.134994,0.482157
48,0.074421,0.027687,0.044437,0.070448,0.075114,0.090742,0.134994,0.482159
49,0.070956,0.025544,0.042362,0.068950,0.073748,0.090079,0.134748,0.493613
50,0.074422,0.027688,0.044438,0.070449,0.075115,0.090742,0.134994,0.482153
51,0.070908,0.025514,0.042333,0.068928,0.073727,0.090067,0.134743,0.493780
52,0.074324,0.027625,0.044380,0.070405,0.075075,0.090720,0.134987,0.482482
53,0.081343,0.032192,0.048563,0.073260,0.077642,0.091873,0.135171,0.459955
54,0.081293,0.032158,0.048533,0.073239,0.077624,0.091864,0.135171,0.460118
55,0.078047,0.030008,0.046605,0.071946,0.076467,0.091358,0.135134,0.470433
56,0.081651,0.032399,0.048748,0.073379,0.077747,0.091916,0.135169,0.458991
57,0.078162,0.030084,0.046673,0.071995,0.076511,0.091380,0.135138,0.470058
58,0.081710,0.032439,0.048782,0.073402,0.077768,0.091926,0.135169,0.458803
59,0.081761,0.032473,0.048812,0.073423,0.077787,0.091935,0.135169,0.458640
60,0.078207,0.030113,0.046699,0.072013,0.076528,0.091389,0.135139,0.469912
61,0.081754,0.032468,0.048807,0.073420,0.077784,0.091934,0.135169,0.458665
62,0.081732,0.032454,0.048794,0.073410,0.077775,0.091929,0.135168,0.458737
63,0.078588,0.030362,0.046927,0.072167,0.076665,0.091450,0.135145,0.468696
64,0.078633,0.030392,0.046953,0.072185,0.076681,0.091458,0.135146,0.468551
65,0.078318,0.030186,0.046763,0.072059,0.076568,0.091409,0.135141,0.469554
66,0.081884,0.032557,0.048883,0.073472,0.077830,0.091955,0.135168,0.458252
67,0.081875,0.032551,0.048878,0.073468,0.077827,0.091954,0.135168,0.458279
68,0.085460,0.035015,0.051000,0.074829,0.079029,0.092443,0.135096,0.447129
69,0.089066,0.037575,0.053126,0.076141,0.080175,0.092877,0.134928,0.436112
70,0.096243,0.042915,0.057328,0.078588,0.082273,0.093576,0.134331,0.414744
