frame,p0,p1,p2,p3,p4,p5,p6,p7
0,0.220552,0.154222,0.193510,0.147153,0.138360,0.051241,0.016503,0.078460
1,0.221634,0.153964,0.192038,0.148503,0.135888,0.049599,0.016508,0.081867
2,0.215264,0.152112,0.186415,0.146363,0.132899,0.046445,0.017813,0.102689
3,0.204541,0.149691,0.175691,0.142625,0.117093,0.037322,0.025294,0.147743
4,0.213936,0.176099,0.148290,0.086647,0.056711,0.024092,0.046078,0.248147
5,0.221007,0.186978,0.134909,0.056634,0.039150,0.026017,0.069122,0.266184
6,0.228087,0.196492,0.127556,0.045844,0.029640,0.023782,0.078196,0.270404
7,0.219986,0.189374,0.117038,0.034260,0.018339,0.023454,0.104874,0.292675
8,0.215123,0.180598,0.112610,0.026305,0.014477,0.027458,0.121944,0.301484
9,0.218152,0.174639,0.108582,0.021831,0.014934,0.037282,0.132434,0.292147
10,0.215288,0.170059,0.101752,0.018147,0.015444,0.048673,0.144277,0.286360
11,0.209557,0.149948,0.114884,0.018875,0.030269,0.109021,0.150604,0.216842
12,0.190579,0.143958,0.105223,0.016735,0.035047,0.139216,0.156932,0.212310
13,0.164349,0.144888,0.102774,0.016689,0.039024,0.169695,0.166451,0.196130
14,0.147516,0.143286,0.101296,0.015820,0.041155,0.195208,0.173238,0.182482
15,0.130770,0.136371,0.101606,0.016741,0.047516,0.223413,0.174111,0.169472
16,0.106103,0.113341,0.093882,0.015590,0.054013,0.285803,0.175968,0.155300
17,0.100776,0.115680,0.094736,0.016263,0.053926,0.287038,0.176696,0.154886
18,0.097500,0.113264,0.091188,0.015902,0.054061,0.298473,0.174253,0.155359
19,0.089138,0.108783,0.091951,0.018767,0.055999,0.306468,0.174847,0.154047
20,0.127222,0.099339,0.158482,0.126111,0.092660,0.103265,0.134118,0.158803
21,0.129173,0.100109,0.157619,0.126168,0.092274,0.104074,0.134387,0.156197
22,0.128902,0.099933,0.157507,0.125303,0.092815,0.104674,0.134351,0.156515
23,0.128367,0.099628,0.157315,0.124759,0.093525,0.105330,0.134426,0.156650
24,0.028292,0.042816,0.206391,0.106630,0.169997,0.154402,0.125503,0.165968
25,0.016879,0.030749,0.203371,0.113566,0.174629,0.163796,0.137235,0.159776
26,0.014501,0.030526,0.202826,0.119400,0.172178,0.170094,0.141484,0.148991
27,0.013251,0.029991,0.200485,0.124297,0.169357,0.172032,0.145467,0.145119
28,0.061839,0.053737,0.106751,0.136965,0.113037,0.131216,0.160308,0.236146
29,0.062131,0.056837,0.134618,0.130821,0.133958,0.149316,0.173268,0.159051
30,0.062131,0.056837,0.134618,0.130821,0.133958,0.149316,0.173268,0.159051
31,0.062131,0.056837,0.134618,0.130821,0.133958,0.149316,0.173268,0.159051
32,0.062131,0.056837,0.134618,0.130821,0.133958,0.149316,0.173268,0.159051
33,0.062131,0.056837,0.134618,0.130821,0.133958,0.149316,0.173268,0.159051
34,0.062131,0.056837,0.134618,0.130821,0.133958,0.149316,0.173268,0.159051
35,0.062131,0.056837,0.134618,0.130821,0.133958,0.149316,0.173268,0.159051
36,0.062131,0.056837,0.134618,0.130821,0.133958,0.149316,0.173268,0.159051
37,0.062131,0.056837,0.134618,0.130821,0.133958,0.149316,0.173268,0.159051
38,0.062131,0.056837,0.134618,0.130821,0.133958,0.149316,0.173268,0.159051
39,0.062131,0.056837,0.134618,0.130821,0.133958,0.149316,0.173268,0.159051
