frame,p0,p1,p2,p3,p4,p5,p6,p7
0,0.235110,0.174865,0.172768,0.146154,0.098045,0.096051,0.027063,0.049945
1,0.125726,0.098737,0.158824,0.137487,0.085932,0.094932,0.135325,0.163038
2,0.125726,0.098737,0.158824,0.137487,0.085932,0.094932,0.135325,0.163038
3,0.125726,0.098737,0.158824,0.137487,0.085932,0.094932,0.135325,0.163038
4,0.130060,0.100174,0.157628,0.134544,0.086075,0.096922,0.135338,0.159260
5,0.130004,0.100297,0.157869,0.131725,0.087126,0.097768,0.134756,0.160455
6,0.129480,0.100064,0.157829,0.130127,0.088288,0.098750,0.134528,0.160935
7,0.128926,0.099735,0.157695,0.128977,0.089342,0.099764,0.134426,0.161135
8,0.128436,0.099435,0.157488,0.128008,0.090389,0.100824,0.134356,0.161063
9,0.127981,0.099162,0.157257,0.127111,0.091469,0.101955,0.134298,0.160768
10,0.127512,0.098891,0.157008,0.126236,0.092641,0.103199,0.134284,0.160230
11,0.126886,0.098548,0.156720,0.125337,0.094059,0.104667,0.134432,0.159352
12,0.126363,0.098257,0.156400,0.124233,0.095385,0.106377,0.134613,0.158372
13,0.125645,0.096877,0.155656,0.122854,0.096992,0.109946,0.135647,0.156384
14,0.125726,0.098737,0.158824,0.137487,0.085932,0.094932,0.135325,0.163038
15,0.125726,0.098737,0.158824,0.137487,0.085932,0.094932,0.135325,0.163038
16,0.125726,0.098737,0.158824,0.137487,0.085932,0.094932,0.135325,0.163038
17,0.125726,0.098737,0.158824,0.137487,0.085932,0.094932,0.135325,0.163038
18,0.125726,0.098737,0.158824,0.137487,0.085932,0.094932,0.135325,0.163038
19,0.125726,0.098737,0.158824,0.137487,0.085932,0.094932,0.135325,0.163038
20,0.125726,0.098737,0.158824,0.137487,0.085932,0.094932,0.135325,0.163038
21,0.125942,0.098580,0.160107,0.131366,0.089956,0.099617,0.135715,0.158717
22,0.130378,0.099276,0.156159,0.130299,0.087576,0.098416,0.135877,0.162019
23,0.129200,0.098707,0.156032,0.128903,0.088905,0.099349,0.135779,0.163125
24,0.128606,0.098333,0.155483,0.128206,0.090130,0.100507,0.135817,0.162919
25,0.127947,0.097929,0.155049,0.127522,0.091348,0.101701,0.135836,0.162667
26,0.127319,0.097575,0.154629,0.126845,0.092663,0.102988,0.135830,0.162151
27,0.126590,0.097192,0.154219,0.126165,0.094141,0.104432,0.135887,0.161374
28,0.209450,0.167861,0.173370,0.140642,0.117586,0.096354,0.039301,0.055434
29,0.198384,0.170325,0.173579,0.138184,0.116294,0.113186,0.043802,0.046246
30,0.203166,0.169462,0.167910,0.144997,0.117212,0.112771,0.040862,0.043620
31,0.222703,0.188490,0.173113,0.147972,0.118910,0.106949,0.022952,0.018912
32,0.215557,0.182986,0.184872,0.143972,0.114484,0.108991,0.027281,0.021856
33,0.221909,0.191043,0.177986,0.144248,0.116552,0.109741,0.022600,0.015921
34,0.217070,0.186731,0.186008,0.143045,0.112732,0.110233,0.025802,0.018379
35,0.222110,0.187991,0.181278,0.145107,0.112304,0.107866,0.025382,0.017962
36,0.219726,0.191188,0.185637,0.143099,0.111766,0.104821,0.024903,0.018861
37,0.215125,0.205351,0.181721,0.146391,0.109239,0.102886,0.019536,0.019753
38,0.226394,0.188082,0.167614,0.148414,0.110584,0.109323,0.029644,0.019945
39,0.228008,0.191185,0.171419,0.146475,0.110548,0.104818,0.027380,0.020167
40,0.214262,0.197624,0.192071,0.138058,0.105427,0.105109,0.023415,0.024036
41,0.217579,0.188485,0.175837,0.143445,0.116417,0.116943,0.024660,0.016634
42,0.215021,0.192737,0.197603,0.133836,0.105598,0.106087,0.023011,0.026107
43,0.206940,0.173060,0.164263,0.140096,0.115878,0.117854,0.043911,0.037999
44,0.203947,0.172345,0.163305,0.142932,0.116009,0.122115,0.043789,0.035558
45,0.208110,0.172057,0.162664,0.141499,0.115322,0.121032,0.043412,0.035903
46,0.208858,0.172423,0.161294,0.142341,0.115379,0.122304,0.042782,0.034619
47,0.210229,0.173430,0.159982,0.143336,0.115197,0.122665,0.041807,0.033355
48,0.212228,0.176356,0.160553,0.144802,0.113398,0.120643,0.039822,0.032197
49,0.227740,0.184075,0.157035,0.148585,0.110107,0.109206,0.033821,0.029431
50,0.221690,0.175941,0.173802,0.145550,0.096971,0.099278,0.030351,0.056416
51,0.125532,0.098191,0.157718,0.124793,0.095423,0.104387,0.133918,0.160037
52,0.123035,0.096809,0.158491,0.124381,0.099193,0.108499,0.134617,0.154977
53,0.122310,0.094981,0.156946,0.122724,0.101401,0.112858,0.135773,0.153008
54,0.126094,0.096073,0.153675,0.122591,0.098135,0.110871,0.136078,0.156482
55,0.125760,0.096679,0.154020,0.124105,0.096615,0.107148,0.135951,0.159722
56,0.124975,0.095746,0.153397,0.122601,0.099015,0.111166,0.136360,0.156742
57,0.125841,0.096655,0.153808,0.125304,0.095615,0.105804,0.136227,0.160747
58,0.124975,0.096305,0.153371,0.124424,0.097440,0.107762,0.136375,0.159348
59,0.124024,0.095160,0.152985,0.122687,0.099865,0.111750,0.136768,0.156761
60,0.124493,0.095711,0.152703,0.124437,0.097607,0.107996,0.136996,0.160057
61,0.119161,0.091076,0.153103,0.123388,0.102066,0.113558,0.139284,0.158364
62,0.119311,0.091077,0.153437,0.123596,0.102816,0.114400,0.138629,0.156733
