frame,p0,p1,p2,p3,p4,p5,p6,p7
9,0.370986,0.333163,0.005873,0.002376,0.267311,0.001480,0.015856,0.002955
10,0.370986,0.333163,0.005873,0.002376,0.267311,0.001480,0.015856,0.002955
11,0.370986,0.333163,0.005873,0.002376,0.267311,0.001480,0.015856,0.002955
12,0.370986,0.333163,0.005873,0.002376,0.267311,0.001480,0.015856,0.002955
13,0.370986,0.333163,0.005873,0.002376,0.267311,0.001480,0.015856,0.002955
14,0.370986,0.333163,0.005873,0.002376,0.267311,0.001480,0.015856,0.002955
15,0.370986,0.333163,0.005873,0.002376,0.267311,0.001480,0.015856,0.002955
16,0.370986,0.333163,0.005873,0.002376,0.267311,0.001480,0.015856,0.002955
17,0.370986,0.333163,0.005873,0.002376,0.267311,0.001480,0.015856,0.002955
18,0.370986,0.333163,0.005873,0.002376,0.267311,0.001480,0.015856,0.002955
19,0.370986,0.333163,0.005873,0.002376,0.267311,0.001480,0.015856,0.002955
20,0.370986,0.333163,0.005873,0.002376,0.267311,0.001480,0.015856,0.002955
21,0.370986,0.333163,0.005873,0.002376,0.267311,0.001480,0.015856,0.002955
22,0.370986,0.333163,0.005873,0.002376,0.267311,0.001480,0.015856,0.002955
23,0.370986,0.333163,0.005873,0.002376,0.267311,0.001480,0.015856,0.002955
24,0.370986,0.333163,0.005873,0.002376,0.267311,0.001480,0.015856,0.002955
25,0.370986,0.333163,0.005873,0.002376,0.267311,0.001480,0.015856,0.002955
26,0.370986,0.333163,0.005873,0.002376,0.267311,0.001480,0.015856,0.002955
27,0.370986,0.333163,0.005873,0.002376,0.267311,0.001480,0.015856,0.002955
28,0.370986,0.333163,0.005873,0.002376,0.267311,0.001480,0.015856,0.002955
29,0.370986,0.333163,0.005873,0.002376,0.267311,0.001480,0.015856,0.002955
30,0.370986,0.333163,0.005873,0.002376,0.267311,0.001480,0.015856,0.002955
31,0.370986,0.333163,0.005873,0.002376,0.267311,0.001480,0.015856,0.002955
