frame,p0,p1,p2,p3,p4,p5,p6,p7
0,0.195599,0.157833,0.189379,0.246478,0.149631,0.008157,0.005210,0.047713
1,0.190497,0.153864,0.190563,0.240569,0.153126,0.007493,0.005137,0.058751
2,0.220515,0.184692,0.184143,0.214141,0.114917,0.006023,0.008450,0.067119
3,0.230153,0.194889,0.180351,0.201433,0.093994,0.005335,0.011095,0.082750
4,0.265035,0.220024,0.188247,0.197439,0.030108,0.003396,0.013693,0.082058
5,0.250878,0.212856,0.201649,0.200100,0.014650,0.003582,0.020078,0.096206
6,0.228984,0.201704,0.195610,0.189603,0.012967,0.003853,0.029787,0.137491
7,0.221625,0.198753,0.199328,0.179347,0.008214,0.005982,0.041422,0.145328
8,0.211468,0.194765,0.200154,0.135497,0.006499,0.010608,0.069269,0.171741
9,0.186781,0.179313,0.186626,0.076982,0.005646,0.024409,0.136032,0.204213
10,0.168535,0.164403,0.169830,0.043266,0.005034,0.045974,0.204755,0.198204
11,0.140040,0.129448,0.158648,0.033873,0.013434,0.116397,0.210530,0.197631
12,0.136812,0.126584,0.146681,0.027176,0.015517,0.143358,0.202989,0.200883
13,0.138742,0.128519,0.135532,0.023701,0.017875,0.146770,0.199575,0.209286
14,0.144891,0.132455,0.119071,0.022172,0.022202,0.143482,0.196715,0.219012
15,0.147872,0.139245,0.105638,0.021417,0.027284,0.142464,0.190187,0.225894
16,0.136459,0.148510,0.102831,0.022218,0.031454,0.142926,0.183778,0.231824
17,0.119767,0.148162,0.109637,0.025576,0.035776,0.143967,0.181662,0.235453
18,0.107618,0.145021,0.113885,0.029959,0.042343,0.144184,0.179230,0.237760
19,0.103007,0.137684,0.111440,0.039231,0.058192,0.140583,0.174640,0.235223
20,0.056407,0.072771,0.127659,0.139173,0.159125,0.150637,0.137700,0.156527
21,0.056407,0.072771,0.127659,0.139173,0.159125,0.150637,0.137700,0.156527
22,0.056407,0.072771,0.127659,0.139173,0.159125,0.150637,0.137700,0.156527
23,0.056407,0.072771,0.127659,0.139173,0.159125,0.150637,0.137700,0.156527
24,0.030705,0.088293,0.139295,0.133076,0.164361,0.143070,0.143511,0.157688
25,0.005561,0.064501,0.154848,0.134574,0.168679,0.145999,0.150267,0.175572
26,0.006000,0.051048,0.144886,0.130694,0.156936,0.178071,0.156778,0.175589
27,0.005884,0.050644,0.144294,0.129326,0.155027,0.178161,0.159131,0.177532
28,0.068578,0.089930,0.119995,0.109302,0.151975,0.138979,0.132774,0.188467
29,0.043174,0.051734,0.121531,0.161724,0.183947,0.168562,0.128293,0.141036
30,0.043174,0.051734,0.121531,0.161724,0.183947,0.168562,0.128293,0.141036
31,0.043174,0.051734,0.121531,0.161724,0.183947,0.168562,0.128293,0.141036
32,0.043174,0.051734,0.121531,0.161724,0.183947,0.168562,0.128293,0.141036
33,0.043174,0.051734,0.121531,0.161724,0.183947,0.168562,0.128293,0.141036
34,0.043174,0.051734,0.121531,0.161724,0.183947,0.168562,0.128293,0.141036
35,0.043174,0.051734,0.121531,0.161724,0.183947,0.168562,0.128293,0.141036
36,0.043174,0.051734,0.121531,0.161724,0.183947,0.168562,0.128293,0.141036
37,0.043174,0.051734,0.121531,0.161724,0.183947,0.168562,0.128293,0.141036
38,0.043174,0.051734,0.121531,0.161724,0.183947,0.168562,0.128293,0.141036
39,0.043174,0.051734,0.121531,0.161724,0.183947,0.168562,0.128293,0.141036
40,0.043174,0.051734,0.121531,0.161724,0.183947,0.168562,0.128293,0.141036
41,0.043174,0.051734,0.121531,0.161724,0.183947,0.168562,0.128293,0.141036
42,0.043174,0.051734,0.121531,0.161724,0.183947,0.168562,0.128293,0.141036
43,0.043174,0.051734,0.121531,0.161724,0.183947,0.168562,0.128293,0.141036
44,0.043174,0.051734,0.121531,0.161724,0.183947,0.168562,0.128293,0.141036
45,0.043174,0.051734,0.121531,0.161724,0.183947,0.168562,0.128293,0.141036
46,0.043174,0.051734,0.121531,0.161724,0.183947,0.168562,0.128293,0.141036
47,0.043174,0.051734,0.121531,0.161724,0.183947,0.168562,0.128293,0.141036
48,0.043174,0.051734,0.121531,0.161724,0.183947,0.168562,0.128293,0.141036
49,0.043174,0.051734,0.121531,0.161724,0.183947,0.168562,0.128293,0.141036
50,0.043174,0.051734,0.121531,0.161724,0.183947,0.168562,0.128293,0.141036
51,0.043174,0.051734,0.121531,0.161724,0.183947,0.168562,0.128293,0.141036
52,0.043174,0.051734,0.121531,0.161724,0.183947,0.168562,0.128293,0.141036
53,0.043174,0.051734,0.121531,0.161724,0.183947,0.168562,0.128293,0.141036
54,0.043174,0.051734,0.121531,0.161724,0.183947,0.168562,0.128293,0.141036
55,0.043174,0.051734,0.121531,0.161724,0.183947,0.168562,0.128293,0.141036
56,0.043174,0.051734,0.121531,0.161724,0.183947,0.168562,0.128293,0.141036
57,0.043174,0.051734,0.121531,0.161724,0.183947,0.168562,0.128293,0.141036
58,0.043174,0.051734,0.121531,0.161724,0.183947,0.168562,0.128293,0.141036
59,0.043174,0.051734,0.121531,0.161724,0.183947,0.168562,0.128293,0.141036
